"","Besleria solanoides","Columnea ciliata","Columnea kucyniakii","Columnea medicinalis","Columnea picta","Columnea strigosa","Drymonia collegarum","Drymonia tenuis","Drymonia teuscheri","Gasteranthus lateralis","Gasteranthus quitensis","Glossoloma oblongicalyx","Glossoloma purpureum","Kohleria affinis"
"Adelomyia melanogenys",1.02097069094236,0.237798893703291,0.622003046097507,3.44436157048743,0.993252895196899,7.04235381677756,1.77229165048462,6.48035622693962,8.26242932210927,5.10863829398467,1.29086441268471,2.57622147493466,0.342706512014323,1.03920876721464
"Aglaiocercus coelestis",7.40292942160076,1.48654211853473,7.59887682876603,1.64679404507952,2.45330425237808,1.42230889069712,2.35605173272192,4.93862352646215,8.87525596514806,3.17903684558332,1.63238484395236,6.28627803473646,0.594348609029942,8.83757429067687
"Coeligena torquata",0.457777292606627,0.628686552674802,1.02075800293487,3.72414739525024,1.04035717495684,1.7132659967361,2.44541326757725,1.75086519996208,4.55909227031993,0.896759118310742,0.380478175402268,4.03915297167882,0.702488084088263,6.86978429791447
"Coeligena wilsoni",0.923349996191056,4.4727710494143,5.81493418631666,2.99704691579029,0.542520452624238,0.550355512910354,9.12213650369833,2.53146907255961,0.531089136971785,0.908612240694859,0.790957580747253,0.188237031516087,0.215219658043044,5.57110513682787
"Haplophaedia lugens",0.40661744048585,0.442735204266312,1.42418218136607,3.80004813063869,1.50410671316494,1.49713892150861,2.27536368137719,3.58176890854193,1.00627977557034,1.03586918656568,0.8548955490634,0.478243712378439,0.603285388036276,1.99589102837149
"Heliangelus strophianus",0.530104465242911,0.422418368970818,1.18855985047833,4.71561483334768,1.26808875052943,2.3501430778413,2.11411441266106,8.34448222189626,3.13727799460366,1.72364322807137,0.402783570885767,4.41864198447826,0.545852089076583,2.39078349004476
"Heliodoxa rubinoides",0.345981494505571,0.858470893221469,1.83746782831667,3.63708109483363,1.65243926527448,1.30020684455632,4.88878753610026,1.97199218865187,2.24408836700402,1.88720691928475,1.11852869689783,0.609772269733502,0.721091992336553,3.93285539875477
"Ocreatus underwoodii",9.47691534117857,0.203607361824963,0.3354284486571,3.17288184676774,0.436467107213479,0.477429243163006,1.00188085339438,0.650988380938554,0.442140621431624,0.478900985349617,1.23650002993484,0.269926862952438,0.23680404394763,0.776247766928101
"Phaethornis striigularis",0.0698610238066193,3.10744222005689,0.246727997777799,1.57593234074289,5.43783895874091,0.319911161601428,0.625827560181684,3.29200590420681,0.94783165558668,0.35707301260409,3.91990699002844,0.161246510272432,9.52160850025936,0.361090740517966
"Phaethornis syrmatophorus",0.1922785639574,4.43424715801912,8.69404384805373,7.54028044450851,2.36012489328016,8.47332680109192,4.31901960896629,1.55612737523628,2.25513465307698,6.60194839864588,2.11015112509656,8.62814838800685,4.82048800561038,1.66655436252485
"Phaethornis yaruqui",0.202579426072891,4.61390218606283,0.719381297442213,3.20166210204416,6.0100942448283,1.066112604275,2.44600838635696,2.18064339549409,3.2477968814905,1.05970499013447,0.25648265340316,0.471733686059438,9.07124129881365,1.2140091689274
"Thalurania fannyi",0.347206738045626,1.18986481585081,1.30351919443491,3.41139017895071,1.59286758492694,2.36908436840567,3.2586205794928,1.49970255817718,0.824637959338455,1.03439910681131,2.46560636204272,0.516258137862516,0.840052051611025,1.9360945032372
"Urosticte benjamini",1.04475788124048,0.369277447473863,0.870728253710982,4.16720806849488,1.31211738995447,1.27000921041638,2.02478822052177,1.24699681897877,1.03328761253402,1.32662297067418,1.25456786064728,0.650000484538513,0.496888804362105,1.77636725365645
