"","Besleria solanoides","Columnea ciliata","Columnea kucyniakii","Columnea medicinalis","Columnea picta","Columnea strigosa","Drymonia collegarum","Drymonia tenuis","Drymonia teuscheri","Gasteranthus lateralis","Gasteranthus quitensis","Glossoloma oblongicalyx","Glossoloma purpureum","Kohleria affinis"
"Adelomyia melanogenys",0.0594846057609386,0.0445675248671679,0.0850775638788413,0.310677746688773,0.0915155993149626,0.329699689913549,0.170256104841413,0.35595328066175,0.49517273626067,0.470242646823703,0.117707317671576,0.257833273275921,0.0567162801130203,0.111014228676197
"Aglaiocercus coelestis",0.776304156950758,0.222155135260773,0.640996613817822,0.268605458729264,0.420146923697863,0.276204327105693,0.435486394709062,0.614859315096445,0.833494144602405,0.589252866630118,0.37675084957285,0.614419178211447,0.192860618010602,0.805106059815539
"Coeligena torquata",0.0318952510123903,0.0474096391539552,0.0966224822155387,0.329055380077264,0.095959010058521,0.114563005450287,0.178749896299069,0.100333950492406,0.196666964193386,0.109359135321383,0.0446061054429999,0.164562770958471,0.0602603108848119,0.346107331882445
"Coeligena wilsoni",0.109070569201503,0.376099838912613,0.550718551274788,0.270294402146345,0.0789666202141182,0.113668622176342,0.813264996124318,0.266355882428082,0.0888807653971431,0.192053767364475,0.113647988811127,0.0450258474739208,0.0561938601295142,0.496436905006551
"Haplophaedia lugens",0.0313670514255238,0.0555876355855826,0.0999740307055191,0.338996590020371,0.118218039220846,0.132855969879474,0.197791875970805,0.220215792927827,0.109484992859676,0.122028239864088,0.0465280413266278,0.0546939790991396,0.0653283683199156,0.134380050492745
"Heliangelus strophianus",0.0648329060184494,0.0481110324957716,0.101727526428309,0.357547903027878,0.107763111522265,0.272257447248445,0.199132875660391,0.636911509550245,0.323963164394133,0.122603361325485,0.052219934053865,0.319710568199448,0.0640709470476065,0.274600865027495
"Heliodoxa rubinoides",0.0308826854672141,0.0481123862076389,0.100228296982998,0.326607018927166,0.112698649105503,0.129148334488469,0.365053224956545,0.109619859032952,0.0977419602611893,0.116328045970748,0.0462732034521023,0.0558670813708398,0.0636823169858163,0.253760951055207
"Ocreatus underwoodii",0.802114149843536,0.038809151016874,0.0852494496876855,0.317097296208887,0.0825755271892963,0.115469720187106,0.165989579237407,0.0903008598951201,0.102684805458421,0.107551273146563,0.279768640118628,0.0459037651523516,0.0519733686281205,0.109338118522785
"Phaethornis striigularis",0.0251985988933829,0.38549209772793,0.0683012465907916,0.260216535477628,0.653788840943372,0.0983813814368272,0.151860115638326,0.162967867121469,0.175380519943842,0.0878475059772399,0.575938231161959,0.0426832934733683,0.748146957247835,0.0911405865280593
"Phaethornis syrmatophorus",0.0523857336644086,0.637604162008278,0.72226221244596,0.797401392693195,0.471267281133917,0.859270494561201,0.623898812452428,0.236066805286626,0.262834607659521,0.796110424372807,0.478928057418288,0.856776507931157,0.441939838592137,0.293861090658629
"Phaethornis yaruqui",0.0287124747664438,0.275869686042386,0.0857536116658076,0.303076073176642,0.494244506522881,0.106195023710896,0.18568670264718,0.189999442229818,0.183643171872116,0.108002913234085,0.0392240288589962,0.0546168157527648,0.542837220354934,0.117857780646877
"Thalurania fannyi",0.0303216062473996,0.102819848344033,0.105250440338051,0.322566165643512,0.109622776357661,0.129710647670485,0.209087618661889,0.100451922701102,0.106444543501368,0.119149966376042,0.102121530952288,0.0561841411860381,0.0620100503752393,0.128859487772038
"Urosticte benjamini",0.0646004066312903,0.0581467580201235,0.0957534222160873,0.33280965404918,0.100351307527445,0.125174972564495,0.184499463431618,0.117805880329601,0.107448289333623,0.117437431573039,0.102714401371477,0.056555134021971,0.0636958296221563,0.135369534827489
