"","ID","Date","ele","Plant","Hummingbird","Yobs"
"1","FH101","2013-10-22",2290,"Psammisia sodiroi","Heliangelus strophianus",1
"2","FH102","2013-11-06",2450,"Meriania tomentosa","Adelomyia melanogenys",1
"3","FH102","2013-11-06",2450,"Meriania tomentosa","Aglaiocercus coelestis",1
"4","FH102","2013-11-06",2450,"Meriania tomentosa","Coeligena torquata",1
"5","FH104","2013-12-05",1960,"Guzmania amplectens","Aglaiocercus coelestis",1
"6","FH104","2013-12-05",1960,"Guzmania amplectens","Coeligena wilsoni",1
"7","FH105","2013-12-15",1900,"Centropogon solanifolius","Phaethornis syrmatophorus",1
"8","FH106","2013-12-19",2430,"Guzmania squarrosa","Adelomyia melanogenys",1
"9","FH106","2013-12-19",2430,"Guzmania squarrosa","Aglaiocercus coelestis",1
"10","FH106","2013-12-19",2430,"Guzmania squarrosa","Heliangelus strophianus",1
"11","FH107","2014-01-08",2440,"Renealmia sessilifolia","Adelomyia melanogenys",1
"12","FH1105","2014-10-07",2470,"Macleania bullata","Coeligena torquata",1
"13","FH1105","2014-10-07",2470,"Macleania bullata","Heliangelus strophianus",1
"14","FH1108","2014-11-19",2380,"Psammisia sodiroi","Adelomyia melanogenys",1
"15","FH1108","2014-11-19",2380,"Psammisia sodiroi","Aglaiocercus coelestis",1
"16","FH1108","2014-11-19",2380,"Psammisia sodiroi","Heliangelus strophianus",1
"17","FH1111","2015-01-13",2330,"Fuchsia macrostigma","Phaethornis syrmatophorus",1
"18","FH1115","2015-03-11",2280,"Heliconia impudica","Aglaiocercus coelestis",1
"19","FH1115","2015-03-11",2280,"Heliconia impudica","Phaethornis syrmatophorus",1
"20","FH1116","2015-03-25",1959,"Guzmania lehmanniana","Coeligena wilsoni",1
"21","FH1118","2015-04-28",2120,"Pitcairnia sodiroi","Aglaiocercus coelestis",1
"22","FH1118","2015-04-28",2120,"Pitcairnia sodiroi","Coeligena wilsoni",1
"23","FH1118","2015-04-28",2120,"Pitcairnia sodiroi","Phaethornis syrmatophorus",1
"24","FH1119","2015-05-13",2410,"Pitcairnia sodiroi","Coeligena torquata",1
"25","FH1121","2015-06-09",2120,"Macleania stricta","Aglaiocercus coelestis",1
"26","FH1123","2015-07-14",1960,"Tillandsia complanata","Aglaiocercus coelestis",1
"27","FH113","2014-03-25",2230,"Fuchsia macrostigma","Adelomyia melanogenys",1
"28","FH1130","2015-10-07",2270,"Renealmia sessilifolia","Aglaiocercus coelestis",1
"29","FH1137","2016-04-20",2140,"Centropogon solanifolius","Aglaiocercus coelestis",1
"30","FH1137","2016-04-20",2140,"Centropogon solanifolius","Phaethornis syrmatophorus",1
"31","FH1137","2016-04-21",2140,"Centropogon solanifolius","Aglaiocercus coelestis",1
"32","FH1138","2016-04-28",2180,"Fuchsia macrostigma","Phaethornis syrmatophorus",1
"33","FH1139","2016-05-09",1960,"Palicourea acetosoides","Aglaiocercus coelestis",1
"34","FH114","2014-04-09",2350,"Palicourea acetosoides","Aglaiocercus coelestis",1
"35","FH1141","2016-06-08",1960,"Palicourea demissa","Ocreatus underwoodii",1
"36","FH1141","2016-06-10",1960,"Palicourea demissa","Ocreatus underwoodii",1
"37","FH1143","2016-07-13",1760,"Centropogon solanifolius","Phaethornis syrmatophorus",1
"38","FH1143","2016-07-14",1760,"Centropogon solanifolius","Aglaiocercus coelestis",1
"39","FH1143","2016-07-14",1760,"Centropogon solanifolius","Phaethornis syrmatophorus",1
"40","FH1143","2016-07-15",1760,"Centropogon solanifolius","Phaethornis syrmatophorus",1
"41","FH1145","2016-08-08",1960,"Macleania stricta","Aglaiocercus coelestis",1
"42","FH1145","2016-08-09",1960,"Macleania stricta","Aglaiocercus coelestis",1
"43","FH1146","2016-08-23",1910,"Heliconia impudica","Aglaiocercus coelestis",1
"44","FH1146","2016-08-24",1910,"Heliconia impudica","Aglaiocercus coelestis",1
"45","FH1146","2016-08-25",1910,"Heliconia impudica","Aglaiocercus coelestis",1
"46","FH1147","2016-09-06",2150,"Heliconia impudica","Coeligena wilsoni",1
"47","FH1148","2016-09-14",1960,"Renealmia sessilifolia","Coeligena wilsoni",1
"48","FH115","2014-04-09",2450,"Fuchsia macrostigma","Phaethornis syrmatophorus",1
"49","FH1152","2017-01-18",1940,"Macleania stricta","Aglaiocercus coelestis",1
"50","FH1152","2017-01-18",1940,"Macleania stricta","Coeligena wilsoni",1
"51","FH1152","2017-01-19",1940,"Macleania stricta","Aglaiocercus coelestis",1
"52","FH1152","2017-01-19",1940,"Macleania stricta","Coeligena wilsoni",1
"53","FH116","2014-05-07",2310,"Palicourea acetosoides","Aglaiocercus coelestis",1
"54","FH118","2014-06-04",1800,"Centropogon solanifolius","Phaethornis syrmatophorus",1
"55","FH1201","2014-07-22",1890,"Centropogon solanifolius","Phaethornis syrmatophorus",1
"56","FH1203","2014-09-10",2110,"Centropogon solanifolius","Aglaiocercus coelestis",1
"57","FH1209","2014-12-02",2000,"Guzmania jaramilloi","Aglaiocercus coelestis",1
"58","FH1209","2014-12-02",2000,"Guzmania jaramilloi","Phaethornis syrmatophorus",1
"59","FH121","2014-07-22",2090,"Psammisia ulbrichiana","Coeligena wilsoni",1
"60","FH1212","2015-01-19",2130,"Fuchsia macrostigma","Aglaiocercus coelestis",1
"61","FH1212","2015-01-19",2130,"Fuchsia macrostigma","Coeligena wilsoni",1
"62","FH1212","2015-01-19",2130,"Fuchsia macrostigma","Phaethornis syrmatophorus",1
"63","FH1213","2015-02-11",1990,"Mezobromelia capituligera","Aglaiocercus coelestis",1
"64","FH1213","2015-02-11",1990,"Mezobromelia capituligera","Coeligena wilsoni",1
"65","FH1219","2015-05-13",2130,"Psammisia sodiroi","Aglaiocercus coelestis",1
"66","FH1220","2015-05-27",1950,"Psammisia ulbrichiana","Coeligena wilsoni",1
